School name,Country,Intl GPA,US GPA
Aligarh Muslim University,India,10/8.5/7/6.5/6/4,4.0/3.6/3.3/3.0/2.5/1.0
Amity University,India,10/8.5/6.5/6.0,4.0/3.6/3.0/2.0
"Anna University, Chennai",India,10/9/8/7/6,4.0/3.7/3.0/2.0/1.7
B.S. Abdur Rahman University,India,10/8/7/6,4.0/3.0/2.0/1.0
Banasthali University,India,100/60/48/36,4.0/3.6/3.0/2.0
"Biju Patnaik University of Technology, Odisha Rourkela",India,10/8/7/6,4.0/3.6/3.0/2.0
Birla Institute of Technology,India,10/7/6/5,4.0/3.6/3.0/2.0
"Birla Institute of Technology and Science, Pilani (Rajasthan)",India,10/9/7/4.5,4.0/3.6/3.0/2.0
"BMS College of Engineering, Bangalore",India,10/7.75/6.75/5.75,4.0/3.6/3.0/2.0
Chaitanya Bharathi Institue of Technology,India,10/9/8/7/6/5.5/5/4.01,4.0/3.9/3.8/3.7/3.6/3.5/3.0/2.0
Charotar University of Science and Technology,India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0
Chhattisgarh Swami Vivekanand Technical University,India,10/9/8/7/6,4.0/3.7/3.3/3.0/2.3
Chitkara University,India,10/9/8/7/6.5/6/5/4.5/4/2,4.0/3.8/3.7/3.3/3.0/2.7/2.3/2.0/1.7/1.0
Coimbatore Institute of Technology,India,10/9/8/7,4.0/3.6/3.0/2.0
"College of Engineering, Pune",India,10/9/8/7/6,4.0/3.7/3.0/2.7/2.0
Cummins College of Engineering for Women,India,100/66/60/55/50/40,4.0/3.6/3.0/2.7/2.3/2.0
D.Y. Patil,India,7/6/5/4/3/2/1,4.0/3.9/3.7/3.3/3.0/2.3/2.0
Datta Meghe College of Engineering - 10-point scale,India,10/8.25/7.75/7.25/6.75,4.0/3.7/3.3/3.0/2.0
Datta Meghe College of Engineering - 100-percentage scale,India,100/70/60/50,4.0/3.6/3.0/2.0
Dayananda Sagar College of Engineering,India,10/9/8/7/6,4.0/3.8/3.6/3.0/2.0
DEFAULT India - 10-point scale,India,10/9/8/7,4.0/3.6/3.0/2.0
DEFAULT India - Letter Grades,India,A/B/C,
"DEFAULT India - Other Traditional Patterns (B.Engr, B.Arch)",India,100/70/60/50,4.0/3.6/3.0/2.0
"DEFAULT India - Predominant (BS, BSc, MA, MSc)",India,100/60/45/33,4.0/3.6/3.0/2.0
Delhi Technological University,India,100/75/60/50/40,4.0/3.6/3.0/2.0/1.0
Dharmsinh Desai University,India,10/7.5/7/6,4.0/3.6/3.0/2.0
Dhirubhai Ambani Institute of Information and Communication Technology,India,10/9/8/7/6,4.0/3.6/3.0/2.6/2.0
Don Bosco Institute of Technology,India,100/70/60/50,4.0/3.6/3.0/2.0
DRAPJ Abdul Kalam Technical University,India,100/75/60/50,4.0/3.6/3.0/2.0
Dwarkadas J. Sanghvi College of Engineering,India,10/9/8/7,4.0/3.7/3.0/2.0
Fr Conceicao Rodrigues College of Engineering,India,10/9/8/7/6,4.0/3.7/3.3/2.3/2.0
Gandhi Institute of Technology and Management,India,10/8/7/6/5,4.0/3.7/3.3/3.0/2.0
Ganpat University,India,10/8/7/6/5,4.0/3.6/3.3/3.0/2.3/2.0
Goa University,India,100/70/60/50,4.0/3.6/3.0/2.0
Govind Ballabh Pant University of Agriculture and Technology,India,10/7.75/6.75/6,4.0/3.6/3.0/2.0
"Gujarat Technological University, Ahmedabad",India,10/7.1/6.5/5.5,4.0/3.6/3.0/2.0
"Guru Gobind Singh Indraprastha University, Delhi",India,100/75/60/50,4.0/3.6/3.0/2.0
"Indian Institute of Engineering Science and Technology, Shibpur",India,10/8/7/6,4.0/3.6/3.0/2.0
Indian Institute of Information Technology Allahabad,India,,
"Indian Institute of Information Technology, Design and Manufacturing Jabalpur",India,10/9/8/7/6,4.0/3.7/3.3/3.0/2.3
Indian Institute of Science,India,8/7/6/5/4,4.0/3.7/3.3/3.0/2.0
Indian Institute of Science Education and Research,India,10/8/2006,4.0/3.0/2.0
Indian Institute of Space Science and Technology,India,10/9/8/7,4.0/3.7/3.0/2.0
Indian Institute of Technology,India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0
Indian Institute of Technology (Banaras Hindu University),India,10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5,4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0
